function,module,line,snippet
gst_return_filing_totals,GST / Compliance,6821,function gst_return_filing_totals(
gst_return_filing_save,GST / Compliance,6848,function gst_return_filing_save(
gst_return_filing_unlock,GST / Compliance,6870,function gst_return_filing_unlock(
gst_tax_heads,GST / Compliance,6875,function gst_tax_heads(
gst_adjustment_period_totals,GST / Compliance,6883,function gst_adjustment_period_totals(
gst_adjustment_suggestions,GST / Compliance,6897,function gst_adjustment_suggestions(
gst_adjustment_amounts_from_input,GST / Compliance,6928,function gst_adjustment_amounts_from_input(
post_gst_adjustment,Sales,6943,function post_gst_adjustment(
cancel_gst_adjustment,GST / Compliance,7013,function cancel_gst_adjustment(
gst_adjustment_rows,GST / Compliance,7032,function gst_adjustment_rows(
posting_amount,Sales,7042,function posting_amount(
posting_qty,Sales,7045,function posting_qty(
posting_money_ledger,Sales,7048,function posting_money_ledger(
posting_party_ledger,Sales,7058,function posting_party_ledger(
seed_branches,Masters / Common,7067,function seed_branches(
branch_by_id,Masters / Common,7077,function branch_by_id(
default_branch,Masters / Common,7082,function default_branch(
branch_options,Masters / Common,7088,function branch_options(
posting_branch_from_source,Sales,7098,function posting_branch_from_source(
posting_branch_from_header,Sales,7114,function posting_branch_from_header(
seed_cost_centers,Masters / Common,7132,function seed_cost_centers(
cost_center_by_id,Masters / Common,7137,function cost_center_by_id(
cost_center_options,Masters / Common,7142,function cost_center_options(
posted_branch_values,Sales,7151,function posted_branch_values(
posted_cost_center_values,Sales,7156,function posted_cost_center_values(
employee_rows,Masters / Common,7161,function employee_rows(
default_employee,Masters / Common,7165,function default_employee(
employee_by_id,Masters / Common,7169,function employee_by_id(
employee_values_from_row,Masters / Common,7174,function employee_values_from_row(
posted_employee_values,Sales,7188,function posted_employee_values(
employee_options,Masters / Common,7199,function employee_options(
posting_cost_center_from_line,Sales,7221,function posting_cost_center_from_line(
posting_add_line,Sales,7236,function posting_add_line(
erp_has_auxiliary_posting_rows,Sales,7256,function erp_has_auxiliary_posting_rows(
erp_post_voucher,Sales,7276,function erp_post_voucher(
erp_reverse_voucher_for_source,Accounts,7396,function erp_reverse_voucher_for_source(
post_sales_invoice,Sales,7458,function post_sales_invoice(
post_purchase_invoice,Sales,7521,function post_purchase_invoice(
post_sales_return,Sales,7584,function post_sales_return(
post_purchase_return,Sales,7647,function post_purchase_return(
post_stock_quantity_voucher,Sales,7709,function post_stock_quantity_voucher(
stock_item_rate,Inventory,7742,function stock_item_rate(
post_stock_adjustment_voucher,Sales,7746,function post_stock_adjustment_voucher(
post_stock_out_voucher,Sales,7769,function post_stock_out_voucher(
post_stock_transfer_voucher,Sales,7795,function post_stock_transfer_voucher(
post_receipt_voucher,Sales,7828,function post_receipt_voucher(
post_payment_voucher,Sales,7849,function post_payment_voucher(
post_expense_voucher,Sales,7870,function post_expense_voucher(
journal_details_lines,Accounts,7893,function journal_details_lines(
post_journal_voucher,Sales,7911,function post_journal_voucher(
opening_balance_contra_ledger,Accounts,7941,function opening_balance_contra_ledger(
opening_balance_voucher_exists,Accounts,7944,function opening_balance_voucher_exists(
post_opening_balance_entry,Sales,7951,function post_opening_balance_entry(
post_opening_balance_vouchers,Sales,7972,function post_opening_balance_vouchers(
opening_balance_conversion_status,Masters / Common,8040,function opening_balance_conversion_status(
default_warehouse_id,Inventory,8055,function default_warehouse_id(
warehouse_options,Inventory,8061,function warehouse_options(
line_warehouse_control,Inventory,8072,function line_warehouse_control(
item_row_options_control,Inventory,8077,function item_row_options_control(
default_price_level_for_business_type,Masters / Common,8104,function default_price_level_for_business_type(
price_level_options_html,Masters / Common,8109,function price_level_options_html(
posted_line_warehouse_id,Sales,8121,function posted_line_warehouse_id(
warehouse_with_available_stock,Inventory,8131,function warehouse_with_available_stock(
resolve_issue_line_warehouse,Inventory,8141,function resolve_issue_line_warehouse(
line_warehouse_for_existing_row,Inventory,8162,function line_warehouse_for_existing_row(
adjust_warehouse_stock,Inventory,8168,function adjust_warehouse_stock(
warehouse_stock_qty,Inventory,8172,function warehouse_stock_qty(
